Date,Seller,Buyer
4/1/2006,18234393,31676307
5/1/2006,18234393,42930073
5/1/2006,42451666,42930073
6/1/2006,37873932,31676307
6/1/2006,9732009,35254655
6/1/2006,10949204,31676307
6/1/2006,43374024,4100319
6/1/2006,4982161,35254655
6/1/2006,43374024,31676307
6/1/2006,43374024,35744390
9/1/2006,42451666,31676307
9/1/2006,37873932,27378579
9/1/2006,16038218,43357086
9/1/2006,35254655,43357086
9/1/2006,40811853,28898963
9/1/2006,40811853,27378579
9/1/2006,32594640,27378579
9/1/2006,3597895,39962360
9/1/2006,40811853,39962360
9/1/2006,40811853,43357086
9/1/2006,40811853,28898963
9/1/2006,35254655,36068229
9/1/2006,40811853,43357086
9/1/2006,40811853,28898963
9/1/2006,40811853,28898963
9/1/2006,40811853,27378579
9/1/2006,29152592,31676307
9/1/2006,39962360,31676307
9/1/2006,40811853,31676307
9/1/2006,40811853,31676307
9/1/2006,40811853,36068229
9/1/2006,40811853,41100637
9/1/2006,40811853,28898963
9/1/2006,40811853,29212420
9/1/2006,40811853,18993162
9/1/2006,40811853,7561491
9/1/2006,32594640,28898963
9/1/2006,40811853,40973802
11/1/2006,20419826,28146561
11/1/2006,34362954,28146561
11/1/2006,20419826,28146561
11/1/2006,28898963,28146561
11/1/2006,28898963,20468955
12/1/2006,28898963,20300737
12/1/2006,14500946,1201755
12/1/2006,14500946,25678541
12/1/2006,35130392,34180752
12/1/2006,34766584,34180752
12/1/2006,20419826,25678541
12/1/2006,7669666,20300737
12/1/2006,37910668,20300737
12/1/2006,37910668,20300737
12/1/2006,20419826,34180752
12/1/2006,20419826,25678541
12/1/2006,3986536,1201755
13/1/2006,18993162,43529577
13/1/2006,30087126,31016363
13/1/2006,34766584,43529577
13/1/2006,19753441,35278480
13/1/2006,40644494,19067560
13/1/2006,38912143,40644494
13/1/2006,20468955,33200478
13/1/2006,9023284,28146561
13/1/2006,15180177,36375475
13/1/2006,3433943,43529577
13/1/2006,18993162,19067560
13/1/2006,20300737,35278480
13/1/2006,18993162,19067560
13/1/2006,28146561,15107717
13/1/2006,20300737,19067560
13/1/2006,3451267,33200478
13/1/2006,1641174,15107717
13/1/2006,11000734,26478362
13/1/2006,37382751,20116877
13/1/2006,34766584,28146561
13/1/2006,29212420,14005938
13/1/2006,11853033,15107717
13/1/2006,18993162,19067560
13/1/2006,3433943,31016363
13/1/2006,28146561,33200478
13/1/2006,11000734,26478362
13/1/2006,11000734,26478362
13/1/2006,20468955,28146561
13/1/2006,34766584,37822921
13/1/2006,18993162,41230525
13/1/2006,1641174,26478362
13/1/2006,11000734,20116877
13/1/2006,37382751,37822921
13/1/2006,36068229,40644494
13/1/2006,35603018,3459393
13/1/2006,8139529,35278480
13/1/2006,40644494,19067560
13/1/2006,16038218,37822921
13/1/2006,38912143,37821261
13/1/2006,19753441,15107717
13/1/2006,20468955,28146561
13/1/2006,38912143,14005938
13/1/2006,7561491,43133826
13/1/2006,37382751,20116877
13/1/2006,31669138,30087126
13/1/2006,36375475,19753441
13/1/2006,20300737,29809415
13/1/2006,36068229,36375475
13/1/2006,20468955,43318609
13/1/2006,35603018,43133826
13/1/2006,28146561,3459393
13/1/2006,14005938,41230525
13/1/2006,7561491,40071078
13/1/2006,29212420,37821261
13/1/2006,36375475,37821261
13/1/2006,37821261,37382751
13/1/2006,36375475,30087126
13/1/2006,37821261,37191707
13/1/2006,28898963,36375475
13/1/2006,40973802,30087126
16/1/2006,43422773,19959154
16/1/2006,43422773,39247879
16/1/2006,43422773,37511805
16/1/2006,43422773,37511805
16/1/2006,40236358,16882318
16/1/2006,36927838,16882318
16/1/2006,16882318,16882318
16/1/2006,34085118,16882318
16/1/2006,31876766,35446319
16/1/2006,34180752,27649581
16/1/2006,757104,41100637
16/1/2006,1581768,19959154
